"region","brains.average.rank","final.rank","G1.fMRI","T1T2ratio","Evolution.Expansion","CBF","AllometricScaling.PNC20mm","PET.AG","Externopyramidisation","Cortical.Thickness","PC1.AHBA","PC1.Neurosynth","regions_ColeAnt12","ColeAnticevicNetPartition","ColeAntNet_name","array_NetGroup","GeneExp_PC1","GeneExp_PC2","GeneExp_PC3","GeneExp_PC4","GeneExp_PC5"
"FOP1",77.95,65,-3.200791201,1.23474977,0.125880735,68.2022629,0.808827451,-0.404901524,0.237883802,2.840494409,4.317659589,-32.72405111,"L_FOP1",4,"Cingulo-Opercular","Association",0.489613403815746,-0.442795655328037,-1.02830710821361,-1.28390195479173,0.228711176820419
"FOP3",92.65,95,-3.065202763,1.197741751,0.562948475,53.5509809,1.078002404,-0.236079223,0.16936966,2.658979455,8.57464494,-17.57072187,"L_FOP3",4,"Cingulo-Opercular","Association",1.35866663250273,0.0444853851977657,-1.31548652971017,-1.55101875622289,0.950146084634549
"FOP2",67.25,44.5,-4.578192727,1.253791805,-0.099836038,48.48787557,1.014354537,-0.52718754,0.179504658,2.661046286,6.710210283,-25.14738649,"L_FOP2",3,"Somatomotor","Association",0.890080292248526,-0.836754051055076,0.147777846635488,1.2038002982423,0.610362503525181
"PFt",75.8,61,-3.472942115,1.279420188,1.441313293,56.65288827,1.195283534,-0.16845039,0.324684731,2.427631752,-1.685201045,-33.22191056,"L_PFt",5,"Dorsal-attention","Transition",-0.880509381811627,-0.883112111684715,0.155061400333823,2.72399307361039,-1.56383375577344
"AIP",85.7,82.5,-2.107337847,1.346473015,1.590238017,60.70235793,1.167035672,-0.03051478,0.177133705,2.304232123,-4.723286848,-26.10286546,"L_AIP",5,"Dorsal-attention","Sensory",-0.30093562083924,0.067252845935269,0.861110297924448,-0.265023264317115,0.201400522947439
"EC",81,72.5,3.019885616,1.351163636,-0.268066019,34.39474196,0.789841575,-0.304348623,0.261666147,2.78960777,12.24699083,34.71960033,"L_EC",9,"Default","Association",2.44276631682743,1.73770412913962,0.339084212301685,0.33073562562775,1.28252031664923
"PreS",54.5,20,0.233993838,1.683598579,-1.613936875,52.44214655,0.714608803,-0.536345251,0.246324009,2.049642716,8.969873508,34.17564491,"L_PreS",9,"Default","Association",1.68388791118935,2.45487665898373,1.06193072197797,-0.752702501533865,-0.970006015078713
"H",80.45,69,0.335829962,1.082641312,-1.317298779,47.10517052,0.790415654,-0.255491071,0.274337136,2.588391016,7.052583787,37.70019495,"L_H",9,"Default","Association",1.9821584502416,3.25002016678593,0.644627709612082,-1.86218881979122,-0.261132041451087
"ProS",59.1,27,-3.588130185,1.378741358,-1.097784309,47.44688839,0.91040728,-0.482427578,0.146290737,2.174790324,1.387715347,19.42725657,"L_ProS",1,"Visual1","Transition",-0.710085404239287,0.35479372881373,-0.0590791403290124,0.814896263495306,-1.01581195699384
"PeEc",93.85,97,0.018441169,1.142642046,0.207702221,10.29175525,0.818361097,-0.325818285,0.30914287,3.230443815,14.82120267,30.65109486,"L_PeEc",11,"Ventral-Multimodal","Association",2.227234661315,0.346399225586928,-0.415107933534447,0.362654837639477,-0.208449556436458
